index,date,north,east,individ,gender
SEP0161526,2020-09-13,7064191,668611,NRM_632,Hona
SEP0161529,2020-10-28,6991772,621403,BI406625,Hona
SEP0161537,2020-08-31,6984672,632430,NRM_699,Hane
SEP0161546,2020-09-12,7013649,641338,BI406701,Hane
SEP0161549,2020-09-23,7001713,647656,BI406629,Hona
SEP0161551,2020-09-13,7064280,670719,NRM_632,Hona
SEP0161554,2020-10-15,7064498,686350,BI407186,Hane
SEP0161555,2020-09-01,7013330,631580,BI406701,Hane
SEP0161559,2020-10-17,7064136,683350,NRM_963,Hona
SEP0161561,2020-08-27,6988007,647419,NRM_882,Hona
SEP0161562,2020-09-20,7068884,678096,NRM_938,Hona
SEP0161566,2020-08-24,7009412,596678,NRM_750,Hane
SEP0161567,2020-09-26,7074515,680243,NRM_1663,Hona
SEP0161569,2020-09-26,7075314,677220,BI050057,Hona
SEP0161571,2020-09-05,6981942,621000,NRM_865,Hona
SEP0161572,2020-09-10,7053590,673646,NRM_1094,Hane
SEP0161580,2020-09-12,6996160,617996,BI406587,Hane
SEP0161588,2020-08-31,6983603,624658,NRM_865,Hona
SEP0161590,2020-09-20,7070513,668336,NRM_1104,Hane
SEP0161596,2020-08-27,6975243,632495,NRM_865,Hona
SEP0161597,2020-10-04,7003861,649818,NRM_704,Hane
SEP0161599,2020-09-03,7002135,647980,BI406629,Hona
SEP0161843,2020-09-23,7119356,518454,NRM_708,Hona
SEP0161861,2020-10-03,6997933,624029,NRM_699,Hane
SEP0162085,2020-10-09,7017384,596489,NRM_773,Hane
SEP0162148,2020-09-28,6940056,614135,BI406625,Hona
SEP0162238,2020-08-27,6975226,628200,NRM_1503,Hona
SEP0162274,2020-09-04,7001133,648637,BI406629,Hona
SEP0162342,2020-08-28,6904301,564780,NRM_1297,Hona
SEP0162383,2020-09-15,6986587,651263,BI406629,Hona
SEP0162409,2020-09-19,7015450,596602,NRM_773,Hane
SEP0162464,2020-09-19,7008396,596222,NRM_897,Hane
SEP0162517,2020-09-28,6986575,620886,NRM_656,Hane
SEP0162545,2020-09-22,7000597,632537,NRM_1179,Hona
SEP0162734,2020-09-12,7037166,583936,NRM_1218,Hane
SEP0162771,2020-09-23,7002008,647229,NRM_1425,Hona
SEP0162812,2020-10-03,6988323,622839,NRM_814,Hane
SEP0162851,2020-09-18,6985375,575020,BI409202,Hane
SEP0162889,2020-10-14,6951546,512844,NRM_1043,Hona
SEP0162939,2020-09-01,6953102,581968,NRM_660,Hane
SEP0162960,2020-09-08,7012236,594286,NRM_897,Hane
SEP0162997,2020-09-13,6959660,612436,NRM_1577,Hane
SEP0163075,2020-09-11,7039023,586686,NRM_912,Hona
SEP0163176,2020-10-31,7025656,638463,NRM_1204,Hona
SEP0163179,2020-09-19,7025757,637941,BI406570,Hane
SEP0163182,2020-10-17,7023017,639748,NRM_1060,Hane
SEP0163188,2020-09-20,7023816,639899,NRM_1204,Hona
SEP0163196,2020-10-14,7025742,643946,NRM_1204,Hona
SEP0163322,2020-09-30,7040390,598714,NRM_657,Hane
SEP0163505,2020-10-16,6912919,522150,NRM_644,Hane
SEP0163506,2020-08-22,6949023,592842,NRM_660,Hane
SEP0163511,2020-09-10,6967460,574390,BI407223,Hona
SEP0163514,2020-10-10,6972996,590315,BI406549,Hona
SEP0163564,2020-10-05,6928617,611460,NRM_1057,Hane
SEP0163570,2020-08-29,6959358,578984,NRM_703,Hane
SEP0163591,2020-10-18,6935521,610132,NRM_1020,Hane
SEP0163593,2020-09-23,6962542,600844,NRM_1108,Hona
SEP0163597,2020-09-01,6952236,585425,BI041489,Hane
SEP0163598,2020-09-19,6973673,579870,NRM_1242,Hona
SEP0163599,2020-09-23,6962102,600814,NRM_813,Hona
